parameter,baseline_value,parameter_unit,bound_span,dPnet_dx_raw,dCOE_dx_raw,Pnet_bound_scaled_sensitivity,COE_bound_scaled_sensitivity
major_radius_m,6.2,m,8.0,-69.05995029799458,465.6914764863875,-2.8105106030399933,3.1820525839588343
toroidal_field_t,5.3,T,7.0,32.96291933616804,-156.58448053375238,1.1467501732284078,-0.9146226643452455
plasma_current_ma,15.0,MA,23.0,102.29652290292393,-547.2753365476774,10.072085605386526,-9.047206629183984
current_drive_power_mw,50.0,MW,350.0,0.8165812752652062,-2.0741460751026985,0.2680011752381133,-0.11429486443965543

baseline_net_electric_power_mw,152.34658477517706
baseline_coe_usd_mwh,907.3662606239807
