iteration,major_radius_m,toroidal_field_t,plasma_current_ma,net_electric_power_mw,coe_usd_mwh,objective,plasma_power_balance_residual,q95,q95_margin,beta_n,beta_n_margin,max_abs_equality_residual,min_inequality_margin
0,6.2,5.3,15.0,541.662964446192,318.26059402765424,2.6409429758303506,0.052740365203276726,2.773724795698925,-0.07542506810035832,4.242858329550236,-0.41428610985007863,0.6599550732212446,-104.80252923022101
1,4.15287093237581,6.833079236719344,7.0,-124.43186064697167,67981415.84224185,679814.2828542792,-0.5079900472841372,3.8399051157196316,0.27996837190654383,0.8790873317841857,0.7069708894052714,32.133619872613096,-3.1259800839502727
2,5.201675710757673,7.289050463934252,7.000000000092683,386.1115131606927,286.4121141062221,2.4780096279015282,-0.07542967156560684,6.9701900734572275,1.323396691152409,5.252122900133731,-0.7507076333779104,0.8723670100800116,-0.7507076333779104
3,5.54398938612732,8.75243747078499,10.657043395822054,513.3407416840148,294.51780733156306,2.431837331631616,-0.23666638937906145,4.685152056870089,0.5617173522900295,2.6213007403160526,0.12623308656131577,11.084045066616785,-0.047184689319205164
4,5.586519241042659,9.999999999997648,11.474853986810995,1003.1915269816399,190.4649612509653,0.9014580855280132,0.14312068427456984,4.84442182470875,0.6148072749029165,3.3962723141668216,-0.13209077138894054,2.1745844462749306,-0.13209077138894054
5,6.050311965264191,10.0,12.976016931116373,870.2927653735486,220.48603561293243,1.3345675907557757,-0.0495027961370804,7.18894322377367,1.3963144079245566,2.998156680738127,0.0006144397539576592,0.27520114614782626,-0.15182825286564774
6,6.987647035728804,10.0,16.91725658590671,1231.6535400635814,204.42956795016894,0.812642139438108,-0.006500041659543058,7.0187262184954005,1.3395754061651335,2.762853447297819,0.079048850900727,0.1233212294801581,-0.008147147518297298
7,7.2313410738742085,9.999999999998956,19.49532583833086,1675.8895245892334,177.51046283170513,0.09921510372781794,0.012820922518071256,6.41382804594288,1.13794268198096,2.907663067854848,0.030778977381717382,0.036899887949813484,-0.0002384966123624821
8,7.264350108076615,9.999999999999577,20.707770212828922,1898.8676160771995,161.58368031504656,-0.2830308129267338,-0.06361771088625347,6.448643655795142,1.1495478852650474,2.9628731184044557,0.012375627198514778,0.09272643412019534,-0.002711255551869485
9,7.053216191677405,10.0,22.7347654419355,1968.2420092423804,155.87242083160874,-0.409517800926293,-0.2597124140793876,7.239161421477065,1.4130538071590215,2.884590780229334,0.0384697399235554,0.4727916652118238,-4.184829030656976
10,7.099247213433831,10.0,22.236650213546064,2019.6894888967474,152.8249573490813,-0.49143991540593457,-0.11571414439466071,6.799845017631368,1.2666150058771226,2.946923257935119,0.017692247354960333,0.20244825737591554,-1.6948423700851059
11,7.161572467196081,10.0,21.595959775762466,2011.6726118459178,153.63404730429912,-0.4753321388029266,-0.026293241226999726,6.474428590372103,1.1581428634573676,2.9864536917329687,0.00451543608901043,0.04168273135017853,-0.21103597664374057
12,7.174596643648015,10.0,21.46575205939803,2005.4251936158737,154.09639618246078,-0.46446123179126597,-0.0005542198078219372,6.405785231420011,1.1352617438066703,2.9998068673855665,6.437753814451477e-05,0.0012042514166296316,-0.017174880605251436
13,7.176564210175962,10.0,21.4503865419631,2004.5220415636375,153.87528512794196,-0.4657691902842178,-1.9537733091965492e-06,6.431474449183159,1.1438248163943863,2.999999010238364,3.2992054540178134e-07,8.91000638875994e-06,-0.00014296929529963864
