iteration,major_radius_m,toroidal_field_t,plasma_current_ma,net_electric_power_mw,coe_usd_mwh,objective,plasma_power_balance_residual,q95,q95_margin,beta_n,beta_n_margin,max_abs_equality_residual,min_inequality_margin
26,7.2201199502091296,9.999971514653762,21.369961461926017,2001.6690816204973,153.20848534901117,-0.4695842281303855,-0.05758816208996177,7.148676225824276,1.3828920752747584,2.99864317731615,0.00045227422794994843,0.05758816208996177,-0.017767972846880874
27,7.186601982272405,9.999999999134968,21.431728051419384,2005.156983138661,153.54645189121555,-0.46969246422650546,0.0013309461418084538,7.054006495779705,1.3513354985932349,3.000015402356571,-5.134118857016053e-06,0.00802650653739043,-0.007962594838855069
28,7.186686824070932,9.99999978996049,21.431573013796488,2005.1483345790602,153.54559480163468,-0.4696923865627134,0.0011830226287916049,7.054243711391642,1.3514145704638807,3.0000122695240052,-4.089841335079095e-06,0.008051042727472923,-0.007986764437484742
29,7.186592692606706,9.999941160137201,21.43186928666475,2005.1541207233765,153.5465854914118,-0.4696882658092587,0.001330829229059873,7.054030909067511,1.3513436363558369,3.0000153098699642,-5.10328998807689e-06,0.008026468492800302,-0.0079625572781199
30,7.189397972286118,9.99999999999584,21.409512100308383,2002.9716603657337,153.8409000197121,-0.4645626601686126,-6.578312718374946e-06,7.049194256595247,1.3497314188650824,2.999998331436961,5.561876796159974e-07,0.00021661966885675506,-0.00015267538145307012
31,7.189435080760943,10.0,21.40914624730673,2002.9399379046956,153.84630706638166,-0.4644768672408792,-3.1259587558452042e-09,7.049050413852195,1.349683471284065,2.9999999988988733,3.670422484465992e-10,9.220854887981696e-08,-5.9135774931331084e-08
32,7.189432902625736,10.0,21.409168742292493,2002.9421452996457,153.84626378546503,-0.46447950744499544,-4.5958131522638724e-11,7.049058015175422,1.349686005058474,2.999999999999519,1.603162047558726e-13,4.5958131522638724e-11,-4.3149659981304675e-12
33,7.189421941442555,10.0,21.409281941203595,2002.9532443674661,153.84603688677598,-0.4644928754997062,-2.793212843243964e-10,7.049096308905956,1.3496987696353187,2.999999999905322,3.1559347727731314e-11,3.784057298616972e-10,-3.877110956598444e-11
34,7.189367134894466,10.0,21.409847943213816,2003.0087365900301,153.8449026393343,-0.4645597101966872,-6.648171620327048e-09,7.0492877863038705,1.3497625954346235,2.999999997601756,7.994146085839777e-10,9.38173252507113e-09,-9.427401997938913e-10
35,7.189093085891354,9.999999999998089,21.412678151694394,2003.286121347189,153.8392375209676,-0.4648937461375129,-1.6586389392614365e-07,7.0502453873964575,1.3500817957988192,2.999999940014662,1.999511267669618e-08,2.3447088869943401e-07,-2.3543282995130367e-08
36,7.187722433317486,10.0,21.42683416394634,2004.671136398768,153.81106479077894,-0.46656048849097886,-4.1487847765893094e-06,7.05503876347471,1.3516795878249033,2.9999985009055825,4.996981391632478e-07,5.863197254257102e-06,-5.891545470524809e-07
37,7.187391966234662,10.0,21.43024981401136,2005.0082724929953,153.80405938710598,-0.46696767862193567,-2.392959922872251e-07,7.056180709470488,1.3520602364901626,2.9999999135499067,2.881669776873726e-08,3.379484032848268e-07,-3.3827645605808664e-08
38,7.187391941311286,9.999999999994312,21.430250177157475,2005.0084582165862,153.8040481472439,-0.46696797674414725,-1.6416379367001354e-13,7.056180173917851,1.352060057972617,2.999999999999239,2.537229685610024e-13,3.7995035616464153e-13,-5.194067398406332e-12
